ds4flash_--flashinfer_cutlass_p8000.log	Selected CutlassFp8BlockScaledMMKernel
ds4flash_b12x--_p8000.log	Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
ds4flash_b12x-b12x_p8000.log	GPU KV cache size: 280,470 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'B12X_MXFP4_MXFP8' Mxfp4 MoE backend
ds4flash_b12x-marlin_p8000.log	Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
ds4flash_dspark_--flashinfer_cutlass_p8000.log	Selected CutlassFp8BlockScaledMMKernel
ds4flash_dspark_b12x--_p8000.log	
ds4flash_dspark_b12x-b12x_p8000.log	GPU KV cache size: 247,867 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'B12X_MXFP4_MXFP8' Mxfp4 MoE backend
ds_ficutlass.log	Selected B12xFp8BlockScaledMMKernel
ds_marlin_ep.log	GPU KV cache size: 301,327 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
f_qwen27b_p8000.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
f_qwen27b_p8001.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
f_qwen27b_p8002.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
f_qwen27b_p8003.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
full_gptoss_p8000.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
full_gptoss_p8001.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
full_gptoss_p8002.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
full_gptoss_p8003.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
gemma26_---_p8000.log	GPU KV cache size: 762,379 tokens
gemma26_---_p8001.log	GPU KV cache size: 762,379 tokens
gemma26_---_p8002.log	GPU KV cache size: 762,379 tokens
gemma26_---_p8003.log	GPU KV cache size: 762,379 tokens
gen5_ds4_tp4.log	Selected B12xFp8BlockScaledMMKernel
gen5_ds4_tp4ep4.log	GPU KV cache size: 291,126 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
gen5_gptoss_x4.log	
glm53f.log	Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FLASHINFER_MLA_SPARSE_SM120 attention backend|Using TRITON Fp8 MoE backend
glm53f_base.log	GPU KV cache size: 2,139,806 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
glm53f_base_resume.log	GPU KV cache size: 2,139,806 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
glm53f_mtp.log	GPU KV cache size: 1,474,560 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using TRITON Fp8 MoE backend
glm53f_mtp64k.log	
gptoss_p8000.log	GPU KV cache size: 375,115 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
gptoss_p8001.log	GPU KV cache size: 375,115 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
gptoss_p8002.log	
gptoss_p8003.log	
inkling_b12x--_p8000.log	GPU KV cache size: 337,631 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
kv_bf16.log	GPU KV cache size: 238,591 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
kv_fp8.log	GPU KV cache size: 477,182 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
moe_b12x.log	
moe_default.log	
moe_flashinfer_b12x.log	
moe_flashinfer_cutedsl.log	
moe_flashinfer_cutlass.log	
moe_marlin.log	
moe_triton.log	
muse30_---_p8000.log	GPU KV cache size: 2,056,193 tokens|Using FLASHINFER attention backend
muse30_---_p8001.log	GPU KV cache size: 2,056,193 tokens|Using FLASHINFER attention backend
muse30_---_p8002.log	GPU KV cache size: 2,056,193 tokens|Using FLASHINFER attention backend
muse30_---_p8003.log	GPU KV cache size: 2,056,193 tokens|Using FLASHINFER attention backend
n2_RedHat_auto_p8000.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_RedHat_auto_p8001.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_RedHat_auto_p8002.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_RedHat_auto_p8003.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_RedHat_b12x_p8000.log	
n2_RedHat_b12x_p8001.log	
n2_RedHat_b12x_p8002.log	
n2_RedHat_b12x_p8003.log	
n2_b12x_dspark_p8000.log	
n2_b12x_dspark_p8001.log	
n2_b12x_dspark_p8002.log	
n2_b12x_dspark_p8003.log	
n2_b12x_p8000.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_b12x_p8001.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_b12x_p8002.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_b12x_p8003.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_cutlass_p8000.log	GPU KV cache size: 1,817,134 tokens|Using CutlassNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_cutlass_p8001.log	GPU KV cache size: 1,817,134 tokens|Using CutlassNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_cutlass_p8002.log	GPU KV cache size: 1,817,134 tokens|Using CutlassNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_cutlass_p8003.log	GPU KV cache size: 1,817,134 tokens|Using CutlassNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
n2_flashinfer_b12x_p8000.log	GPU KV cache size: 1,812,169 tokens|Using FLASHINFER attention backend|Using FlashInferB12xNvFp4LinearKernel for NVFP4 GEMM
n2_flashinfer_b12x_p8001.log	GPU KV cache size: 1,812,169 tokens|Using FLASHINFER attention backend|Using FlashInferB12xNvFp4LinearKernel for NVFP4 GEMM
n2_flashinfer_b12x_p8002.log	GPU KV cache size: 1,812,169 tokens|Using FLASHINFER attention backend|Using FlashInferB12xNvFp4LinearKernel for NVFP4 GEMM
n2_flashinfer_b12x_p8003.log	GPU KV cache size: 1,812,169 tokens|Using FLASHINFER attention backend|Using FlashInferB12xNvFp4LinearKernel for NVFP4 GEMM
n2_flashinfer_cutedsl_p8000.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_flashinfer_cutedsl_p8001.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_flashinfer_cutedsl_p8002.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_flashinfer_cutedsl_p8003.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_unsloth_auto_p8000.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_unsloth_auto_p8001.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_unsloth_auto_p8002.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_unsloth_auto_p8003.log	GPU KV cache size: 1,707,907 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n2_unsloth_b12x_p8000.log	
n2_unsloth_b12x_p8001.log	
n2_unsloth_b12x_p8002.log	
n2_unsloth_b12x_p8003.log	
n_ds4_tp4_b12x.log	GPU KV cache size: 280,470 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'B12X_MXFP4_MXFP8' Mxfp4 MoE backend
n_fp8_p8000.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
n_fp8_p8001.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
n_fp8_p8002.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
n_fp8_p8003.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
n_nvfp4_p8000.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n_nvfp4_p8001.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n_nvfp4_p8002.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
n_nvfp4_p8003.log	GPU KV cache size: 1,815,893 tokens|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
nemo35_b12x-flashinfer_cutlass_p8000.log	Selected B12xTensorFP8ScaledMMLinearKernel|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
nemo35_b12x-flashinfer_cutlass_p8001.log	Selected B12xTensorFP8ScaledMMLinearKernel|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
nemo35_b12x-flashinfer_cutlass_p8002.log	Selected B12xTensorFP8ScaledMMLinearKernel|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
nemo35_b12x-flashinfer_cutlass_p8003.log	Selected B12xTensorFP8ScaledMMLinearKernel|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
od_gptoss2_8002.log	Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
od_gptoss_8000.log	GPU KV cache size: 530,237 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
od_qfn_8003.log	Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
od_qwen27b_8001.log	GPU KV cache size: 1,082,307 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
pr_control_p8000.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_control_p8001.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_control_p8002.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_control_p8003.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_ficutlass_p8000.log	GPU KV cache size: 976,325 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_ficutlass_p8001.log	GPU KV cache size: 976,325 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_ficutlass_p8002.log	GPU KV cache size: 1,028,719 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
