tag	shape	in	out	prefix	C	prompts	dur_s	req_s	out_tps	total_tps	in_tps	ttft_ms	p99_ttft	tpot_ms	p99_tpot	completed
gen5_gptoss_x4	short	256	64	0	16	64	2.7	24.04	1538	7692	6153	82	103	9.3	10.1	64
gen5_gptoss_x4	short	256	64	0	64	128	2.3	58.3	3731	18656	14925	160	268	14.9	16.5	128
gen5_gptoss_x4	short	256	64	0	256	256	2.4	113.43	7260	36299	29039	483	784	27.7	31.4	256
gen5_gptoss_x4	router	1024	128	0	16	64	5.6	11.48	1469	13223	11754	152	195	9.8	10.5	64
gen5_gptoss_x4	router	1024	128	0	64	128	4.8	26.72	3420	30784	27364	282	602	16.6	19.5	128
gen5_gptoss_x4	router	1024	128	0	256	256	5.2	51.31	6568	59112	52544	626	1338	33.8	37.6	256
gen5_gptoss_x4	promptopt	512	256	3072	16	64	10.8	5.96	1525	22882	21357	169	299	9.9	10.4	64
gen5_gptoss_x4	promptopt	512	256	3072	64	128	9.9	13.11	3357	50348	46992	453	588	17.3	18.6	128
gen5_gptoss_x4	promptopt	512	256	3072	256	256	9.4	27.46	7029	105434	98405	1096	1624	32.1	34.9	256
gen5_gptoss_x4	judge	4096	512	0	16	64	22.9	2.82	1441	12973	11531	442	592	10.3	11.0	64
gen5_gptoss_x4	judge	4096	512	0	64	128	21.1	6.17	3156	28408	25252	706	2091	18.9	21.6	128
gen5_gptoss_x4	judge	4096	512	0	128	128	13.6	9.58	4905	44145	39240	352	520	25.2	25.7	128
gen5_gptoss_x4	rollout	8192	2048	0	16	32	44.6	0.74	1506	7530	6024	621	831	10.3	10.9	32
gen5_gptoss_x4	rollout	8192	2048	0	64	64	42.3	1.53	3142	15710	12568	743	1719	20.0	20.5	64
