ds4flash_dp4ep4_b12xmoe_s512_b12x-b12x_p8000.log	Selected B12xFp8BlockScaledMMKernel
ds4flash_dp4ep4_s1024_b12x--_p8000.log	GPU KV cache size: 70,443 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
ds4flash_dp4ep4_s512_b12x--_p8000.log	GPU KV cache size: 198,124 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
ds4flash_tp4_s512_b12x-b12x_p8000.log	GPU KV cache size: 284,624 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'B12X_MXFP4_MXFP8' Mxfp4 MoE backend
kl_p8000.log	GPU KV cache size: 463,056 tokens|Using FLASH_ATTN attention backend
kl_p8001.log	GPU KV cache size: 930,972 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASH_ATTN attention backend
q27_bf16_---_p8000.log	GPU KV cache size: 889,949 tokens|Using FLASHINFER attention backend
q27_bf16_---_p8001.log	GPU KV cache size: 889,949 tokens|Using FLASHINFER attention backend
q27_bf16_---_p8002.log	GPU KV cache size: 889,949 tokens|Using FLASHINFER attention backend
q27_bf16_---_p8003.log	GPU KV cache size: 889,949 tokens|Using FLASHINFER attention backend
q27_nvfp4_quasar_qat_b12x--_p8000.log	GPU KV cache size: 1,726,526 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_quasar_qat_b12x--_p8001.log	GPU KV cache size: 1,726,526 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_quasar_qat_b12x--_p8002.log	GPU KV cache size: 1,726,526 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_quasar_qat_b12x--_p8003.log	GPU KV cache size: 1,726,526 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
