tag	shape	in	out	prefix	C	prompts	dur_s	req_s	out_tps	total_tps	in_tps	ttft_ms	p99_ttft	tpot_ms	p99_tpot	completed
gen5_ds4_tp4ep4	short	256	64	0	16	64	15.7	4.06	260	1300	1040	2592	9846	21.3	79.1	64
gen5_ds4_tp4ep4	short	256	64	0	64	128	16.4	7.83	501	2505	2004	5770	11119	37.9	49.4	128
gen5_ds4_tp4ep4	short	256	64	0	256	256	9.3	27.5	1760	8801	7041	3503	6090	89.9	135.7	256
gen5_ds4_tp4ep4	router	1024	128	0	16	64	15.7	4.06	520	4681	4161	1039	1541	22.7	29.5	64
gen5_ds4_tp4ep4	router	1024	128	0	64	128	19.2	6.66	852	7671	6819	2877	5911	52.6	71.7	128
gen5_ds4_tp4ep4	router	1024	128	0	256	256	30.0	8.52	1091	9815	8725	12320	23665	135.2	221.1	256
gen5_ds4_tp4ep4	promptopt	512	256	3072	16	64	31.9	2.0	513	7692	7179	2964	10280	19.7	35.0	64
gen5_ds4_tp4ep4	promptopt	512	256	3072	64	128	21.8	5.86	1500	22496	20997	2070	3510	34.6	40.4	128
gen5_ds4_tp4ep4	promptopt	512	256	3072	256	256	35.8	7.15	1831	27460	25629	7025	12618	111.7	132.9	256
gen5_ds4_tp4ep4	judge	4096	512	0	16	64	62.8	1.02	522	4697	4175	2808	6007	25.2	30.0	64
