# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    211     33      -      0      0      0      0      0      0  14001   2895      1      2      0 
    1     98     30      -      7      4      0      0      0      0  14001   2895      1      2      0 
    2     99     31      -      0      0      0      0      0      0  14001   2895      1      2      0 
    3    110     28      -      0      0      0      0      0      0  14001   2872      1      2      0 
    0    207     33      -      0      0      0      0      0      0  14001   2895      1      2      0 
    1     96     30      -      0      0      0      0      0      0  14001   2895      1      2      0 
    2     96     31      -      0      0      0      0      0      0  14001   2895      1      2      0 
    3    108     28      -      0      0      0      0      0      0  14001   2872      1      2      0 
    0    146     31      -      0      0      0      0      0      0  14001    570      1      2      0 
    1     65     29      -      0      0      0      0      0      0  14001    547      1      2      0 
    2     51     30      -      0      0      0      0      0      0  14001    495      1      2      0 
    3     80     27      -      0      0      0      0      0      0  14001    615      1      2      0 
    0    125     31      -      0      0      0      0      0      0  14001    352      1      2      0 
    1     57     28      -      0      0      0      0      0      0  14001    345      1      2      0 
    2     44     30      -      0      0      0      0      0      0  14001    307      1      2      0 
    3     70     27      -      0      0      0      0      0      0  14001    390      1      2      0 
    0    109     31      -      0      0      0      0      0      0  14001    225      1      2      0 
    1     48     28      -      0      0      0      0      0      0  14001    217      1      2      0 
    2     44     29      -      0      0      0      0      0      0  14001    195      1      2      0 
    3     60     27      -      0      0      0      0      0      0  14001    247      1      2      0 
    0     88     31      -      0      0      0      0      0      0    810    180      1      2      0 
    1     46     28      -      0      0      0      0      0      0   7001    180      1      2      0 
    2     40     29      -      0      0      0      0      0      0   7001    180      1      2      0 
    3     53     27      -      0      0      0      0      0      0    810    180      1      2      0 
    0     65     30      -      0      0      0      0      0      0    810    180      1      2      0 
    1     17     28      -      0      0      0      0      0      0    810    180      1      2      0 
    2     15     29      -      0      0      0      0      0      0    810    180      1      2      0 
    3     39     26      -      0      0      0      0      0      0    810    180      1      2      0 
    0     37     30      -      0      0      0      0      0      0    405    180      1      2      0 
    1     10     28      -      0      0      0      0      0      0    405    180      1      2      0 
    2     11     29      -      0      0      0      0      0      0    405    180      1      2      0 
    3     24     26      -      0      0      0      0      0      0    405    180      1      2      0 
    0     37     30      -      0      0      0      0      0      0    405    180      1      2      0 
    1      8     27      -      0      0      0      0      0      0    405    180      1      2      0 
    2      7     28      -      0      0      0      0      0      0    405    180      1      2      0 
    3     24     26      -      0      0      0      0      0      0    405    180      1      2      0 
    0     37     30      -      0      0      0      0      0      0    405    180      1      2      0 
    1      6     27      -      0      0      0      0      0      0    405    180      1      2      0 
    2      7     28      -      0      0      0      0      0      0    405    180      1      2      0 
    3     24     26      -      0      0      0      0      0      0    405    180      1      2      0 
