MemTotal:       792228224 kB
MemFree:        375551992 kB
MemAvailable:   760333560 kB
Buffers:          287284 kB
Cached:         386358684 kB
SwapCached:            0 kB
Active:         340498476 kB
Inactive:       65220324 kB
Active(anon):      53176 kB
Inactive(anon): 19494776 kB
Active(file):   340445300 kB
Inactive(file): 45725548 kB
Unevictable:          96 kB
Mlocked:              96 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:           3096500 kB
Writeback:             0 kB
AnonPages:      19075584 kB
Mapped:          2048052 kB
Shmem:            474996 kB
KReclaimable:    2861496 kB
Slab:            4909172 kB
SReclaimable:    2861496 kB
SUnreclaim:      2047676 kB
KernelStack:       73392 kB
PageTables:        88028 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    396114112 kB
Committed_AS:   111375984 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:     1522044 kB
VmallocChunk:          0 kB
Percpu:           322560 kB
HardwareCorrupted:     0 kB
AnonHugePages:     71680 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:    12651020 kB
DirectMap2M:    117051392 kB
DirectMap1G:    675282944 kB
