tag	shape	in	out	prefix	C	prompts	dur_s	req_s	out_tps	total_tps	in_tps	ttft_ms	p99_ttft	tpot_ms	p99_tpot	completed
ds4flash_tp4_b12xmoe	short	256	64	0	16	64	6.6	9.63	616	3082	2465	456	569	19.1	25.1	64
ds4flash_tp4_b12xmoe	short	256	64	0	64	128	8.0	16.0	1024	5120	4096	1218	1950	43.8	57.9	128
ds4flash_tp4_b12xmoe	short	256	64	0	256	256	10.9	23.5	1504	7520	6016	4152	7228	104.5	159.0	256
ds4flash_tp4_b12xmoe	router	1024	128	0	16	64	16.6	3.86	495	4451	3957	1260	1828	22.7	31.2	64
ds4flash_tp4_b12xmoe	router	1024	128	0	64	128	22.4	5.71	731	6578	5848	3340	7006	61.6	83.6	128
ds4flash_tp4_b12xmoe	router	1024	128	0	256	256	35.2	7.28	932	8384	7453	14491	27878	158.0	257.3	256
ds4flash_tp4_b12xmoe	promptopt	512	256	3072	16	64	23.2	2.76	707	10598	9891	886	1603	19.2	22.0	64
ds4flash_tp4_b12xmoe	promptopt	512	256	3072	64	128	25.5	5.02	1285	19282	17996	2703	4676	39.3	46.8	128
ds4flash_tp4_b12xmoe	promptopt	512	256	3072	256	256	30.4	8.43	2158	32375	30217	8460	15277	84.7	110.8	256
ds4flash_tp4_b12xmoe	judge	4096	512	0	16	64	66.0	0.97	496	4468	3972	3202	7091	26.0	31.3	64
ds4flash_tp4_b12xmoe	judge	4096	512	0	64	128	91.6	1.4	716	6440	5725	9357	28114	70.9	87.2	128
ds4flash_tp4_b12xmoe	judge	4096	512	0	128	128	78.7	1.63	833	7496	6664	29175	56629	95.1	146.4	128
ds4flash_tp4_b12xmoe	rollout	8192	2048	0	16	32	107.1	0.3	612	3060	2448	6060	14221	23.2	25.9	32
ds4flash_tp4_b12xmoe	rollout	8192	2048	0	64	64	130.5	0.49	1004	5021	4017	29095	55975	49.2	61.9	64
