tag	shape	in	out	prefix	C	prompts	dur_s	req_s	out_tps	total_tps	in_tps	ttft_ms	p99_ttft	tpot_ms	p99_tpot	completed
ds4flash_tp4ep4	short	256	64	0	16	64	12.5	5.13	329	1643	1314	1817	6640	20.6	110.9	64
ds4flash_tp4ep4	short	256	64	0	64	128	25.4	5.05	323	1614	1292	5208	13471	118.4	224.9	128
ds4flash_tp4ep4	short	256	64	0	256	256	17.4	14.71	942	4708	3766	10456	13845	107.9	203.6	256
ds4flash_tp4ep4	router	1024	128	0	16	64	16.7	3.82	489	4403	3914	710	6686	27.3	68.0	64
ds4flash_tp4ep4	router	1024	128	0	64	128	11.9	10.74	1374	12367	10993	1322	2014	36.4	44.3	128
ds4flash_tp4ep4	router	1024	128	0	256	256	21.2	12.06	1544	13893	12349	10483	13945	83.4	154.7	256
ds4flash_tp4ep4_marlin	short	256	64	0	16	64	6.2	10.35	663	3313	2650	487	575	16.8	23.4	64
ds4flash_tp4ep4_marlin	short	256	64	0	64	128	7.8	16.36	1047	5234	4187	1327	1947	40.7	57.2	128
ds4flash_tp4ep4_marlin	short	256	64	0	256	256	11.2	22.95	1469	7344	5875	4345	7658	105.8	164.9	256
ds4flash_tp4ep4_marlin	router	1024	128	0	16	64	16.0	4.0	512	4607	4095	1296	1899	21.2	30.3	64
ds4flash_tp4ep4_marlin	router	1024	128	0	64	128	23.5	5.45	697	6277	5580	2950	8040	68.9	88.6	128
ds4flash_tp4ep4_marlin	router	1024	128	0	256	256	26.1	9.81	1255	11298	10043	7345	19135	144.4	196.4	256
ds4flash_tp4ep4_marlin	promptopt	512	256	3072	16	64	21.2	3.02	773	11602	10829	919	1729	17.1	20.2	64
ds4flash_tp4ep4_marlin	promptopt	512	256	3072	64	128	24.4	5.25	1344	20153	18809	2685	4654	37.2	44.8	128
ds4flash_tp4ep4_marlin	promptopt	512	256	3072	256	256	30.9	8.28	2119	31780	29661	9097	16426	84.5	112.7	256
ds4flash_tp4ep4_marlin	judge	4096	512	0	16	64	59.7	1.07	548	4936	4388	2920	6193	23.5	28.5	64
ds4flash_tp4ep4_marlin	judge	4096	512	0	64	128	59.9	2.14	1094	9843	8749	6546	21799	45.5	76.9	128
ds4flash_tp4ep4_marlin	judge	4096	512	0	128	128	25.7	4.98	2550	22953	20403	2619	4124	45.0	49.2	128
ds4flash_tp4ep4_marlin	rollout	8192	2048	0	16	32	84.6	0.38	774	3871	3097	4269	8189	18.6	20.4	32
ds4flash_tp4ep4_marlin	rollout	8192	2048	0	64	64	86.1	0.74	1523	7616	6093	5603	17461	39.2	41.7	64
