tag	shape	in	out	prefix	C	prompts	dur_s	req_s	out_tps	total_tps	in_tps	ttft_ms	p99_ttft	tpot_ms	p99_tpot	completed
gptoss_x4_full	short	256	64	0	16	64	2.7	24.22	1550	7751	6201	78	97	9.2	9.9	64
gptoss_x4_full	short	256	64	0	64	128	2.1	63.3	4051	20256	16205	124	226	14.0	16.2	128
gptoss_x4_full	short	256	64	0	256	256	2.1	123.5	7904	39521	31617	299	490	27.8	30.5	256
gptoss_x4_full	router	1024	128	0	16	64	5.4	12.02	1539	13848	12309	148	194	9.3	10.3	64
gptoss_x4_full	router	1024	128	0	64	128	4.7	27.4	3507	31566	28059	223	520	16.6	19.3	128
gptoss_x4_full	router	1024	128	0	256	256	4.8	53.59	6860	61737	54878	524	1184	32.9	35.6	256
gptoss_x4_full	promptopt	512	256	3072	16	64	10.5	6.17	1580	23701	22121	179	384	9.5	10.3	64
gptoss_x4_full	promptopt	512	256	3072	64	128	9.6	13.43	3438	51571	48133	473	667	16.8	18.3	128
gptoss_x4_full	promptopt	512	256	3072	256	256	9.5	27.48	7035	105532	98496	1172	1656	31.8	35.1	256
gptoss_x4_full	judge	4096	512	0	16	64	21.9	2.94	1507	13559	12053	437	566	9.8	10.6	64
gptoss_x4_full	judge	4096	512	0	64	128	20.4	6.37	3260	29339	26079	497	1592	18.7	21.3	128
gptoss_x4_full	judge	4096	512	0	128	128	13.4	9.78	5005	45049	40044	226	384	25.0	25.5	128
gptoss_x4_full	rollout	8192	2048	0	16	32	42.8	0.76	1553	7763	6211	595	813	10.0	10.4	32
gptoss_x4_full	rollout	8192	2048	0	64	64	41.1	1.61	3294	16470	13176	689	1667	19.1	19.9	64
