tag	shape	in	out	prefix	C	prompts	dur_s	req_s	out_tps	total_tps	in_tps	ttft_ms	p99_ttft	tpot_ms	p99_tpot	completed
qwen27b_x4_full	short	256	64	0	16	64	6.5	9.97	638	3189	2551	146	163	23.1	23.4	64
qwen27b_x4_full	short	256	64	0	64	128	4.2	30.44	1948	9742	7794	483	526	25.7	29.9	128
qwen27b_x4_full	short	256	64	0	256	256	4.3	59.93	3836	19178	15342	1651	1998	41.1	58.9	256
qwen27b_x4_full	router	1024	128	0	16	64	13.7	4.68	599	5395	4795	443	492	23.4	24.4	64
qwen27b_x4_full	router	1024	128	0	64	128	10.3	12.4	1587	14281	12694	1555	1924	28.3	36.0	128
qwen27b_x4_full	router	1024	128	0	256	256	12.4	20.64	2642	23776	21135	4626	7703	60.3	89.4	256
qwen27b_x4_full	promptopt	512	256	3072	16	64	27.9	2.29	587	8806	8219	945	1339	23.6	24.9	64
qwen27b_x4_full	promptopt	512	256	3072	64	128	21.5	5.98	1531	22968	21437	3042	4262	29.9	38.2	128
qwen27b_x4_full	promptopt	512	256	3072	256	256	26.4	9.77	2500	37502	35002	9844	16275	63.3	92.6	256
qwen27b_x4_full	judge	4096	512	0	16	64	55.6	1.15	590	5313	4722	1812	1974	23.6	24.2	64
qwen27b_x4_full	judge	4096	512	0	64	128	37.1	3.46	1771	15942	14171	3382	7647	29.5	38.0	128
qwen27b_x4_full	judge	4096	512	0	128	128	20.0	6.43	3291	29622	26331	2740	3857	33.5	37.2	128
qwen27b_x4_full	rollout	8192	2048	0	16	32	102.5	0.31	640	3200	2560	2408	2562	23.8	24.0	32
qwen27b_x4_full	rollout	8192	2048	0	64	64	63.7	1.01	2060	10298	8239	2752	5562	29.7	30.9	64
