tag	label	C	dur_s	req_s	out_tps	in_tps	total_tps	ttft_mean_ms	ttft_p50_ms	ttft_p99_ms	tpot_mean_ms	tpot_p50_ms	tpot_p99_ms	itl_mean_ms	e2e_mean_ms	e2e_p99_ms	completed
sat_marlin	judge	256	218.8	9.367	4796	43165	47961	1791	1322	10082	49.9	50.8	52.5	49.9	27310.9	36096.2	2048
sat_marlin	judge	512	360.8	11.398	5836	52522	58358	4569	2878	24069	78.4	79.8	99.8	78.4	44651.9	68530.5	4096
sat_marlin	promptopt	1024	141.7	57.808	14799	221981	236780	1531	1367	5824	63.3	63.7	67.8	63.3	17675.0	21893.2	8192
sat_marlin	promptopt	512	101.2	40.461	10358	155372	165730	1248	1221	3297	44.7	44.5	48.4	44.7	12637.5	14395.7	4096
sat_marlin	rollout	128	527.1	1.947	3987	19933	23920	2526	2163	10577	30.9	31.1	32.3	30.9	65853.2	75651.6	1024
sat_marlin	rollout	256	613.0	2.551	4892	25793	30684	8506	4383	56036	49.1	47.2	82.6	48.1	101360.9	153921.2	1564
sat_marlin	router	1024	123.8	66.203	8474	76266	84740	1607	1057	9892	108.6	112.2	117.7	108.6	15403.5	24023.6	8192
sat_marlin	router	256	48.7	42.042	5381	48432	53814	940	922	2645	40.5	40.5	46.6	40.5	6078.1	7687.2	2048
sat_marlin	router	512	76.4	53.654	6868	61809	68677	1174	949	5023	65.7	67.0	72.8	65.7	9516.9	13560.5	4096
sat_marlin	short	1024	40.7	201.157	12874	64370	77244	1040	1027	2727	64.0	63.7	76.6	64.0	5069.7	6484.0	8192
sat_marlin	short	512	27.3	150.028	9602	48009	57611	706	738	1418	42.8	42.0	51.3	42.8	3402.4	3695.8	4096
