tag	label	C	dur_s	req_s	out_tps	in_tps	total_tps	ttft_mean_ms	ttft_p50_ms	ttft_p99_ms	tpot_mean_ms	tpot_p50_ms	tpot_p99_ms	itl_mean_ms	e2e_mean_ms	e2e_p99_ms	completed	shape	in	out	prefix	prompts	ttft_ms	p99_ttft	tpot_ms	p99_tpot	host
ds4flash_b12x--	router	256	249.3	8.214	1051	8411	9462	3783	2349	23716	215.04	224.75	237.43	215.04	31092	51632	2048										pro6000-s600w
ds4flash_b12x--	router	1024	120.7	8.089	1035	8283	9319	57469	55356	114145	207.79	231.45	239.05	207.84	83858	120526	976										pro6000-s600w
ds4flash_b12x--	promptopt	1024	105.3	9.269	2373	33221	35594	46561	41255	92478	92.03	98.28	102.09	92.05	70029	105097	976										pro6000-s600w
ds4flash_b12x--	judge	512	2047.8	2.0	1024	8193	9217	128037	129837	215487	240.04	246.17	249.09	240.04	250695	341350	4096										pro6000-s600w
ds4flash_b12x-b12x	router	256	236.8	8.648	1107	8855	9962	3717	2887	22063	203.23	211.85	224.58	203.23	29527	48987	2048										pro6000-s600w
ds4flash_b12x-b12x	router	1024	114.4	8.529	1092	8734	9826	54196	52002	107612	197.38	218.98	226.66	197.43	79263	114303	976										pro6000-s600w
ds4flash_b12x-b12x	promptopt	1024	104.7	9.322	2387	33411	35798	45739	40118	91065	92.09	97.61	101.53	92.11	69222	104510	976										pro6000-s600w
ds4flash_b12x-b12x	judge	512	1938.3	2.113	1082	8656	9738	121003	122749	202455	227.34	232.69	235.76	227.34	237175	321626	4096										pro6000-s600w
ds4flash_b12x-marlin	router	256	249.1	8.222	1052	8419	9471	3706	2344	23740	215.41	224.66	238.37	215.41	31064	52204	2048										pro6000-s600w
ds4flash_b12x-marlin	router	1024	120.5	8.099	1037	8293	9330	57437	55305	113910	207.3	229.96	238.86	207.35	83764	120374	976										pro6000-s600w
ds4flash_b12x-marlin	promptopt	1024	105.7	9.237	2365	33104	35468	46686	41014	92346	92.43	98.6	102.03	92.44	70255	105452	976										pro6000-s600w
ds4flash_b12x-marlin	judge	512	2047.3	2.001	1024	8195	9219	128008	129870	215767	239.98	246.11	249.2	239.98	250637	341533	4096										pro6000-s600w
